Number of Records Retrieved: 10180,,,,,,,,,,,,,,,,,,,,,
STOCKING_EVENT_RECORD_NUM,RECORD_STATUS,STOCKING_YEAR,DESTINATION_WATERBODY_LID,DESTINATION_WATERBODY_NAME,INVENTORY_COMMENTS,STOCKING_COMMENTS,MARKING_COMMENTS,,,,,,,,,,,,,,
45945,APPROVED,2021,17-6576-50317,Loon L.,10-11 inches. Average weight: 256 g.,,,,,,,,,,,,,,,,
46928,APPROVED,2021,17-7415-48483,"Ontario, L.",Surplus fingerlings,Stocked from shore approx. 30 feet out off Chub Point Road.,,,,,,,,,,,,,,,
46929,APPROVED,2021,17-7415-48483,"Ontario, L.",Surplus Brood,Stocked at Wicklow Beach,,,,,,,,,,,,,,,
46932,APPROVED,2021,17-7415-48483,"Ontario, L.",Surplus Brood,Stocked Wicklow Beach,,,,,,,,,,,,,,,
45911,APPROVED,2021,17-7025-50524,Sunday L.,,Clark Lk.,,,,,,,,,,,,,,,
46689,APPROVED,2021,17-7415-48483,"Ontario, L.",Delivered to net pen April 13 2021 (3.19g); released May 13 2021 (7.7g) - held for 31 days. A total of 3 pen(s) at this location.,'Transit Mortality' is actually the number of mortalities counted during pen rearing (115) plus fish taken for sampling (0),,,,,,,,,,,,,,,
46915,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 56.789 lon 80 05.762 Boat stocked, went well. 250 Birds, 150 morts",,,,,,,,,,,,,,,
46771,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 34.571 lon 80 15.103 Boat stocked, went well 150 birds, 5 morts",,,,,,,,,,,,,,,
46772,APPROVED,2021,17-5000-46773,"Erie, L.",,Boat stocked went well,,,,,,,,,,,,,,,
47297,APPROVED,2021,17-6237-48321,Humber R.,,"actual coordinates - 17T 588727, 4864570",,,,,,,,,,,,,,,
41632,APPROVED,2019,17-7415-48483,"Ontario, L.",surplus LaHave Broodstock,not every stocked fish was tagged - total tagged fish = 249,"fish floy tagged on site by LOMU staff, some smaller fish were not tagged",,,,,,,,,,,,,,
45886,APPROVED,2021,17-4006-49280,"Huron, L.",,45.53.979 82.06.961,,,,,,,,,,,,,,,
45887,APPROVED,2021,17-4006-49280,"Huron, L.",,45.53.979 82.06.961,,,,,,,,,,,,,,,
45888,APPROVED,2021,17-4006-49280,"Huron, L.",,45.53.979 82.06.961,,,,,,,,,,,,,,,
45414,APPROVED,2020,17-4343-52970,Whopper L.,,210 is what I have in my notes,,,,,,,,,,,,,,,
45417,APPROVED,2020,17-4322-53018,Taylor L.,105 is wat I have in my notes,,,,,,,,,,,,,,,,
45687,APPROVED,2021,17-7415-48483,"Ontario, L.",,,47 AtS brood tagged,,,,,,,,,,,,,,
45688,APPROVED,2021,17-7415-48483,"Ontario, L.",,,Tagged 103 of 579 fish stocked,,,,,,,,,,,,,,
45691,APPROVED,2021,17-7415-48483,"Ontario, L.",,,Pink tags 1792-2000,,,,,,,,,,,,,,
45706,APPROVED,2021,17-7415-48483,"Ontario, L.",surplus brood,"fish were floy tagged at stocking site
297 of 334 tagged",tags are white,,,,,,,,,,,,,,
46697,APPROVED,2021,18-2676-50444,Trout L. (NL),,36% shortfall for Bancroft Heli,,,,,,,,,,,,,,,
46698,APPROVED,2021,17-7237-50498,Moonbeam L.,,36% shortfall for Bancroft Heli,,,,,,,,,,,,,,,
46699,APPROVED,2021,17-7163-50499,West Headstone L.,,36% shortfall for Bancroft Heli,,,,,,,,,,,,,,,
46701,APPROVED,2021,17-7252-50442,McFee L.,,36% shortfall for Bancroft Heli,,,,,,,,,,,,,,,
46703,APPROVED,2021,18-2692-50333,Pell L.,,36% shortfall for Bancroft Heli,,,,,,,,,,,,,,,
46056,APPROVED,2021,17-6201-49898,"Muskoka, L.",,south basin only (south of Browning Island),,,,,,,,,,,,,,,
46060,APPROVED,2021,17-6643-50080,Shoe L.,,Centre Basin,,,,,,,,,,,,,,,
46611,APPROVED,2021,17-7415-48483,"Ontario, L.",,Stocked at RP 60 - actual cords =  43.840283 -76.859983,,,,,,,,,,,,,,,
46613,APPROVED,2021,17-7415-48483,"Ontario, L.",,actual coordinates = 43.952633 -76.789917,,,,,,,,,,,,,,,
46218,APPROVED,2021,17-6738-50244,Fletcher L.,,Half stocked at boat launch in west basin and half in East basin from access off Livingstone Road,,,,,,,,,,,,,,,
46240,APPROVED,2021,17-6144-48227,Credit R.,,Technically Heritage Rd at Apple farm,,,,,,,,,,,,,,,
46836,APPROVED,2021,17-7415-48483,"Ontario, L.",,Fish were stocked at mouth near Eldorado Road. These fish were part of an enrichment study. These were direct stocked,"Tag numbers on file, tags are rather Control or Enriched reared",,,,,,,,,,,,,,
46837,APPROVED,2021,17-7415-48483,"Ontario, L.",,"Fish were soft released from Pens, part of enrichment study","These fish were soft released from pens, tag #'s on file",,,,,,,,,,,,,,
46838,APPROVED,2021,17-7415-48483,"Ontario, L.",,"Stocked fish at end of Eldorado road, mouth of Ganny","Fish were direct stocked, part of Enrichment study",,,,,,,,,,,,,,
46839,APPROVED,2021,17-7415-48483,"Ontario, L.",,These fish were soft released from pens,"Fish were part of enrichment study, tags on file",,,,,,,,,,,,,,
46840,APPROVED,2021,17-7415-48483,"Ontario, L.",,"Fish part of enrichment study, direct stocked at river mouth (end of Eldorado rd)",Tag #'son file,,,,,,,,,,,,,,
46841,APPROVED,2021,17-7415-48483,"Ontario, L.",,Fish part of enrichment study,Tag #'s on file,,,,,,,,,,,,,,
47129,APPROVED,2021,17-7415-48483,"Ontario, L.",,Fish stocked as part of Enrichment study,Tag #'s on file,,,,,,,,,,,,,,
46763,APPROVED,2021,17-7415-48483,"Ontario, L.",,"stocking went well, shore stocked",,,,,,,,,,,,,,,
46888,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 31.468 lon 80 09.967 Boat stocked, went well 60 birds, 10 morts",,,,,,,,,,,,,,,
46889,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat44 36.839 lon 80 19.674 boat stocked, went well 150, 5 morts",,,,,,,,,,,,,,,
46890,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 35.861 lon 80 17.519 Boat stocked, went well 150 birds, 5 morts",,,,,,,,,,,,,,,
46892,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 34.257 lon 80 14.378 Boat stocked, went well, 30 birds, 5 morts",,,,,,,,,,,,,,,
46893,APPROVED,2021,17-4006-49280,"Huron, L.",,"lat 44 36.201 lon 80 18.806 Boat stocked, went well, 200 birds, 30 morts",,,,,,,,,,,,,,,
47099,APPROVED,2021,17-7415-48483,"Ontario, L.",,Fish were stocked as part on an enrichment trial,Tag #'s on file,,,,,,,,,,,,,,
47102,APPROVED,2021,17-7415-48483,"Ontario, L.",,"Fish were stocked at 7TH LINE,
Part of enrichment trial",Tags on file,,,,,,,,,,,,,,
