glfsd_stock_id,agency_stock_id,agency_code,_lake,state_prov,manUnit,grid_10min,location_primary,location_secondary,latitude,longitude,year,month,day,stock_method,species_code,_strain,yearclass,life_stage,age_months,_clip,clip_efficiency,phys_chem_mark,tag_type,cwt_number,tag_retention,mean_length_mm,total_weight_kg,stocking_mortality,lot_code,hatchery_abbrev,number_stocked,notes
202195284,,INDNR,MI,IN,IND,2704,East Chicago Marina,East Chicago,41.65501,-87.4368,2020,5,12,s,BNT,PLY,2020,sf,6,NO,,,,,,89,516,1,20UILBNT,MSFH,66000,
202195410,61625,MIDNR,MI,MI,MM6,1410,Ludington Car Ferry,Ludington Harbor,43.95534245,-86.46166719,2020,3,30,b,BNT,WR,2019,y,12,,,,,,,161,773.2,1,P-BNT-WR-D-2018-OD-HA,,12833,Record speed for unloading fish without dealing with avian predator contact. No gulls were present.
202195411,61626,MIDNR,MI,MI,MM6,1410,Ludington Car Ferry,Ludington Harbor,43.95534245,-86.46166719,2020,5,11,b,BNT,WR,2019,y,12,,,,,,,161,773.2,1,P-BNT-WR-D-2018-OD-HA,,12833,
202195412,61627,MIDNR,MI,MI,MM6,1410,Ludington Car Ferry,Ludington Harbor,43.95534245,-86.46166719,2020,3,31,b,BNT,WR,2019,y,12,,,,,,,148,658,1,P-BNT-WR-D-2018-OD-HA,,12833,
202195413,61629,MIDNR,MI,MI,MM6,1410,Ludington Car Ferry,Ludington Harbor,43.95534245,-86.46166719,2020,4,1,b,BNT,WR,2019,y,12,NO,,,,,,157,690,1,P-BNT-WR-D-2018-OD-HA,,12834,
202195414,61630,MIDNR,MI,MI,MM6,1410,Ludington Car Ferry,Ludington Harbor,43.95534245,-86.46166719,2020,4,1,b,BNT,WR,2019,y,12,NO,,,,,,157,690,1,P-BNT-WR-D-2018-OD-HA,,12834,
202195421,61758,MIDNR,MI,MI,MM6,1211,Manistee,Manistee River,44.24728777,-86.33980661,2020,4,23,i,BNT,WR,2019,y,16,NO,,,,,,162,2044.4,1,P-BNT-WR-D-2018-OD-HA,,34020,
202195422,61764,MIDNR,MI,MI,MM5,1011,Coast Guard Station,Betsie River,44.62972338,-86.24401762,2020,4,27,s,BNT,WR,2019,y,16,NO,,,,,,159,1381.6,1,P-BNT-WR-D-2018-OD-HA,,24177,
202195459,61932,MIDNR,MI,MI,MM6,1211,Manistee,Manistee River,44.24728777,-86.33980661,2020,3,24,i,BNT,WR,2019,y,16,NO,,,,,,169,749.4,1,P-BNT-WR-D-18-OD,,11490,
202195460,61933,MIDNR,MI,MI,MM6,1211,Manistee,Manistee River,44.24728777,-86.33980661,2020,3,24,i,BNT,WR,2019,y,16,NO,,,,,,172,793.15,1,P-BNT-WR-D-18-OD,,11490,
